Measurement Title,Measurement Description,Measurement Type,Measurement Medium,Measurement Time,Measurement Value,Units,Units Abbreviation,Measurement Period Type,Data Stream ID,Resource ID,Measurement ID,Record ID,Latitude,Longitude,Location
UI Labs Bioswale NWS Probability of Precipitation,,TimeWindowBoundary,NA,04/27/2018 07:00:00 PM,66,universal coordinated time,UTC,Instantaneous,33264,65150,2518774271999999999,332642518774271999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/27/2018 07:00:00 PM,0.06,universal coordinated time,UTC,Instantaneous,33265,65142,2518774271999999999,332652518774271999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/27/2018 01:00:00 PM,0.04,universal coordinated time,UTC,Instantaneous,33265,65142,2518774487999999999,332652518774487999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Probability of Precipitation,,TimeWindowBoundary,NA,04/27/2018 07:00:00 AM,75,universal coordinated time,UTC,Instantaneous,33264,65150,2518774703999999999,332642518774703999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/27/2018 07:00:00 AM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518774703999999999,332652518774703999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/27/2018 01:00:00 AM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518774919999999999,332652518774919999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Probability of Precipitation,,TimeWindowBoundary,NA,04/26/2018 07:00:00 PM,8,universal coordinated time,UTC,Instantaneous,33264,65150,2518775135999999999,332642518775135999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/26/2018 07:00:00 PM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518775135999999999,332652518775135999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/26/2018 01:00:00 PM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518775351999999999,332652518775351999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Probability of Precipitation,,TimeWindowBoundary,NA,04/26/2018 07:00:00 AM,0,universal coordinated time,UTC,Instantaneous,33264,65150,2518775567999999999,332642518775567999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/26/2018 07:00:00 AM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518775567999999999,332652518775567999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/26/2018 01:00:00 AM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518775783999999999,332652518775783999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Probability of Precipitation,,TimeWindowBoundary,NA,04/25/2018 07:00:00 PM,0,universal coordinated time,UTC,Instantaneous,33264,65150,2518775999999999999,332642518775999999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
